Refdes,Quantity,Description,Manufacturer,MPN
LED1,1,LED BLUE CLEAR SMT 1206,Wurth,150120BS75000
R1,1,RES SMD 470 OHM 5% 1/4W 0603,Rohm Semi,ESR03EZPJ471
