Ref,Qty,Qty3,Description,Digikey PN
LED1,1,3,LED BLUE CLEAR SMT 1206,732-4989-1-ND
R1,1,3,RES SMD 470 OHM 5% 1/4W 0603,RHM470DCT-ND
