Ref,Qty,Qty3,Description,MF,MF_PN,S1,S1_PN,Type
LED1,1,3,LED BLUE CLEAR SMT 1206,Wurth,150120BS75000,Digikey,732-4989-1-ND,
R1,1,3,RES SMD 470 OHM 5% 1/4W 0603,Rohm Semi,ESR03EZPJ471,Digikey,RHM470DCT-ND,
